Dataset,Original_file_name,Distorted_file_name,Width_original,Height_original,Width,Height,Bitrate,Video_codec,FPS,Duration,MOS,CI,Computed_Mos,Window_size,Window_stride,SSIM_Minkowski_pooling,Mode,temporal_pooling,vmaf_v0.6.1,vmaf_v0.6.1neg,vmaf_float_v0.6.1,vmaf_float_v0.6.1neg,vmaf_float_b_v0.6.3,vmaf_b_v0.6.3,vmaf_float_4k_v0.6.1,vmaf_4k_v0.6.1,vmaf_4k_v0.6.1neg,cambi,float_ssim,psnr_y,psnr_cb,psnr_cr,float_ms_ssim,ciede2000,psnr_hvs_y,psnr_hvs_cb,psnr_hvs_cr,psnr_hvs,vmaf_float_b_v0.6.3_bagging,vmaf_float_b_v0.6.3_stddev,vmaf_float_b_v0.6.3_ci_p95_lo,vmaf_float_b_v0.6.3_ci_p95_hi,vmaf_b_v0.6.3_bagging,vmaf_b_v0.6.3_stddev,vmaf_b_v0.6.3_ci_p95_lo,vmaf_b_v0.6.3_ci_p95_hi,integer_vif_scale3,eSSIM,SSIM
GamingVideoSet2,LoL_30fps_30sec_Part2.yuv,LoL_30fps_30sec_Part2_1920x1080_4000_x264.mp4,1920,1080,1920,1080,4000,x264,30,30,4.48,-1,-1,8,4,3,2,mean,87.90707495555554,86.19931238333334,87.91314490111111,86.22630045222222,87.3142305711111,87.30816728777778,92.26534808222222,92.26241192444444,90.94360713,2.088678776666667,0.9933191355555556,40.45452975777778,43.29609780777778,43.06934324222222,0.9912639644444444,41.86616264444445,40.30411718111111,42.45776943555556,42.07635181777778,40.61073685777778,86.6593071988889,2.6011291166666664,80.94600888888888,90.64950121666666,86.65293582999999,2.598928615555556,80.94570847444443,90.6394888377778,0.9659696066666664,0.9335155333333334,0.97235007
GamingVideoSet2,LoL_30fps_30sec_Part2.yuv,LoL_30fps_30sec_Part2_1920x1080_4000_x264.mp4,1920,1080,1920,1080,4000,x264,30,30,4.48,-1,-1,8,4,3,2,harmonic_mean,87.80884216291382,86.09734021762306,87.81486862650115,86.12382916350776,87.20794390469878,87.20192935911993,92.21580465565788,92.2129303499019,90.89256985359138,1.93784678002558,0.9933105346354156,40.397841583818256,43.27453658852045,43.04735427472015,0.991253781766806,41.82332022462199,40.173556505469335,42.42088129403756,42.04280002946348,40.49824086180144,86.55739484432375,2.512571327546799,80.88948392564815,90.51020234925478,86.55105292577267,2.510111659899801,80.88927892202246,90.50017107859188,0.965825517376062,0.9333090253392996,0.9722973194800516
GamingVideoSet2,LoL_30fps_30sec_Part2.yuv,LoL_30fps_30sec_Part2_1920x1080_4000_x264.mp4,1920,1080,1920,1080,4000,x264,30,30,4.48,-1,-1,8,4,3,2,geometric_mean,87.8576430927664,86.14796776437481,87.86369154833504,86.17470510037312,87.26074797262058,87.25470878897734,92.24038083444948,92.2374756544222,90.9178732312143,1.9734940567490955,0.9933104993624516,40.42541777579743,43.28503753346645,43.05804843258687,0.9912537306223902,41.84417409118593,40.237151861209405,42.438830341316994,42.05909456561507,40.553045838037896,86.60800591196791,2.539161668311272,80.91743413379679,90.57939064625948,86.6016490059722,2.536761432275273,80.91718136348945,90.569367821693,0.9658225722539204,0.933301194550068,0.9722965276938608
GamingVideoSet2,LoL_30fps_30sec_Part2.yuv,LoL_30fps_30sec_Part2_1920x1080_4000_x264.mp4,1920,1080,1920,1080,4000,x264,30,30,4.48,-1,-1,8,4,3,2,percentile_50,88.325522,86.609784,88.33355900000001,86.63362699999999,87.76415399999999,87.758723,92.5849955,92.5812855,91.2362145,1.7847795,0.994574,40.4674115,43.1947025,42.955,0.9923405,41.7313855,40.3770255,42.3844,41.8867475,40.666813000000005,87.099986,2.6919035,81.042654,91.163127,87.08963449999999,2.6888775000000003,81.0377525,91.153962,0.9701425,0.936625,0.973481
GamingVideoSet2,LoL_30fps_30sec_Part2.yuv,LoL_30fps_30sec_Part2_1920x1080_4000_x264.mp4,1920,1080,1920,1080,4000,x264,30,30,4.48,-1,-1,8,4,3,2,percentile_5,82.82696905,81.12544079999999,82.82650265,81.1393868,82.09568195,82.0991243,88.61805375,88.62659755,87.29933915,1.30717075,0.9857056,38.1441985,41.89570915,41.6751237,0.98311495,39.8749158,36.7332269,40.62719175,40.36881545,37.27246415,81.57486265,1.7784685,77.46988385,84.8289294,81.57261155,1.7740631,77.47300440000001,84.82136820000001,0.9352148,0.8986767,0.9549026
GamingVideoSet2,LoL_30fps_30sec_Part2.yuv,LoL_30fps_30sec_Part2_1920x1080_4000_x264.mp4,1920,1080,1920,1080,4000,x264,30,30,4.48,-1,-1,8,4,3,2,percentile_95,92.0416111,90.43120305,92.0476438,90.47687775,91.60514815,91.6001361,95.33085025,95.32845355,94.0429166,3.4682460499999985,0.99798965,42.9940087,44.9648242,44.8109239,0.99668425,44.1715688,44.1584609,44.66940665,44.32567865,44.2033827,90.86290445,3.3748713500000003,84.5161622,95.7947294,90.8553588,3.373849,84.5187608,95.78480785,0.98702185,0.96163105,0.98601225
GamingVideoSet2,LoL_30fps_30sec_Part2.yuv,LoL_30fps_30sec_Part2_1920x1080_4000_x264.mp4,1920,1080,1920,1080,4000,x264,30,30,4.48,-1,-1,8,4,3,2,norm_lp1,87.90707495555554,86.19931238333334,87.91314490111111,86.22630045222222,87.3142305711111,87.30816728777778,92.26534808222222,92.26241192444444,90.94360713,2.088678776666667,0.9933191355555556,40.45452975777778,43.29609780777778,43.06934324222222,0.9912639644444444,41.86616264444445,40.30411718111111,42.45776943555556,42.07635181777778,40.61073685777778,86.6593071988889,2.6011291166666664,80.94600888888888,90.64950121666666,86.65293582999999,2.598928615555556,80.94570847444443,90.6394888377778,0.9659696066666664,0.9335155333333334,0.97235007
GamingVideoSet2,LoL_30fps_30sec_Part2.yuv,LoL_30fps_30sec_Part2_1920x1080_4000_x264.mp4,1920,1080,1920,1080,4000,x264,30,30,4.48,-1,-1,8,4,3,2,norm_lp2,87.956019109351,86.25018977888264,87.96210961062006,86.27742534599315,87.36716700831468,87.36108064886824,92.29016581754271,92.28719924579194,90.96920693149804,2.2143446280002004,0.9933277469070384,40.48377592760698,43.30722288791319,43.08073515274118,0.9912741738236434,41.88825973732995,40.37114124030828,42.47683376494732,42.09378496349264,40.6684931173567,86.71011698599429,2.6600076794185776,80.97451848977552,90.71896020904312,86.70373194221308,2.6579873980096127,80.97417175554189,90.7089598947008,0.9661151699979852,0.93372828267403,0.9724034581774555
GamingVideoSet2,LoL_30fps_30sec_Part2.yuv,LoL_30fps_30sec_Part2_1920x1080_4000_x264.mp4,1920,1080,1920,1080,4000,x264,30,30,4.48,-1,-1,8,4,3,2,norm_lp3,88.00449379078788,86.30061806676912,88.01060392744776,86.32809787002171,87.41957182346482,87.41346339013911,92.31483586633534,92.31183943924424,90.99467427235756,2.3411752544789355,0.9933363334956272,40.51314899661125,43.31841221951596,43.0922251107659,0.9912843587762724,41.91045535729783,40.43816004881372,42.49601944798748,42.11139314319099,40.72626789105068,86.76044962932677,2.71439996459063,81.00297537917676,90.78775676880886,86.75405168457722,2.7125325460844896,81.00258362578204,90.77777008505797,0.966259275821093,0.9339394517418762,0.9724566899699454
GamingVideoSet2,LoL_30fps_30sec_Part2.yuv,LoL_30fps_30sec_Part2_640x480_1200_x264.mp4,640,480,1920,1080,1200,x264,30,30,2.62,-1,-1,8,4,3,2,mean,57.06482889,55.47015292111112,57.06365183111111,55.48428908666667,55.76982244777778,55.76876877111111,68.61102621777778,68.61016586777778,67.40424210111111,2.215385495555556,0.9830238733333332,30.80887253111111,37.595633442222216,32.991411562222225,0.9744252566666668,36.20982747666667,30.80920098555556,36.74862218777777,34.292358998888886,31.41079535333333,55.331194687777774,2.495209103333334,51.29922101444445,59.270121822222215,55.33125109666667,2.498166905555555,51.29470950444444,59.27709705,0.9410235433333334,0.7922917455555556,0.9184495211111112
