Dataset,Original_file_name,Distorted_file_name,Width_original,Height_original,Width,Height,Bitrate,Video_codec,FPS,Duration,MOS,CI,Computed_Mos,temporal_pooling,vmaf_v0.6.1,vmaf_v0.6.1neg,vmaf_float_v0.6.1,vmaf_float_v0.6.1neg,vmaf_float_b_v0.6.3,vmaf_b_v0.6.3,vmaf_float_4k_v0.6.1,vmaf_4k_v0.6.1,vmaf_4k_v0.6.1neg,cambi,float_ssim,psnr_y,psnr_cb,psnr_cr,float_ms_ssim,ciede2000,psnr_hvs_y,psnr_hvs_cb,vmaf_float_b_v0.6.3_bagging,vmaf_float_b_v0.6.3_stddev,vmaf_float_b_v0.6.3_ci_p95_lo,vmaf_float_b_v0.6.3_ci_p95_hi,vmaf_b_v0.6.3_bagging,vmaf_b_v0.6.3_stddev,vmaf_b_v0.6.3_ci_p95_lo,vmaf_b_v0.6.3_ci_p95_hi
KUGVD,FIFA17_30fps_30sec_v2.yuv,FIFA17_30fps_30sec_v2_1280x720_4000_x264.mp4,1280,720,1920,1080,4000,x264,30,30,4.35,-1,4.352941176470588,mean,85.78842801777779,83.61941292666667,85.79644478888888,83.65869183444444,84.04240147555556,84.03453066666665,90.36527535666666,90.35911159666666,88.68463463777776,0.9409706255555556,0.9935749288888888,34.236352951111115,39.999390473333335,41.47559091111111,0.98794178,38.691911876666666,37.82254602666666,40.40703730666667,83.47587088666666,2.2355825011111112,79.69399314333334,87.24655407888889,83.46866218222223,2.2362629322222225,79.68557724555556,87.24003079444445
KUGVD,FIFA17_30fps_30sec_v2.yuv,FIFA17_30fps_30sec_v2_1280x720_4000_x264.mp4,1280,720,1920,1080,4000,x264,30,30,4.35,-1,4.352941176470588,harmonic_mean,85.7129490989028,83.54533927884367,85.72094691868854,83.58445315764254,83.97237101963194,83.96451448739523,90.33427602775024,90.32811846764224,88.65460769917453,0.7877976788659531,0.9935731904413758,34.22694245426707,39.98487874845233,41.46554172075103,0.9879387071542796,38.67956619117682,37.77880200555934,40.375520515354616,83.40220197605395,2.194953314248269,79.61825553691638,87.1793615709288,83.39500939340675,2.1956189322727018,79.60984996650404,87.17284354631818
KUGVD,FIFA17_30fps_30sec_v2.yuv,FIFA17_30fps_30sec_v2_1280x720_4000_x264.mp4,1280,720,1920,1080,4000,x264,30,30,4.35,-1,4.352941176470588,geometric_mean,85.7501242327731,83.5818124947585,85.75813153757444,83.62100769500738,84.00686201897675,83.99899834775992,90.3495764297184,90.34341575730244,88.66942465732276,0.7647077323092427,0.9935731842943436,34.23151036938108,39.99193677907766,41.47041616896616,0.987938687669202,38.68557768269727,37.80003208966838,40.39077279916516,83.43847022558366,2.205941657624427,79.65551035638977,87.21251741807065,83.43126958731662,2.2066142709826377,79.64709949233054,87.20599661266024
KUGVD,FIFA17_30fps_30sec_v2.yuv,FIFA17_30fps_30sec_v2_1280x720_4000_x264.mp4,1280,720,1920,1080,4000,x264,30,30,4.35,-1,4.352941176470588,total_variation,2.2042353070077865,2.1129099299221354,2.204371545050056,2.116406929922136,2.201491798665184,2.2013837074527256,1.4849386785317018,1.484980847608454,1.4166894616240264,0.0817446451612903,0.0011189833147942,0.3954208464961067,0.2701238153503894,0.2203423136818687,0.0017034382647385,0.3189324349276972,1.10521836596218,0.4262444816462735,2.179336641824249,0.1219988709677419,1.8353110912124584,2.368745934371524,2.179165730812013,0.1218954671857619,1.8355585016685203,2.3685932191323698
KUGVD,FIFA17_30fps_30sec_v2.yuv,FIFA17_30fps_30sec_v2_1280x720_4000_x264.mp4,1280,720,1920,1080,4000,x264,30,30,4.35,-1,4.352941176470588,norm_lp1,85.78842801777779,83.61941292666667,85.79644478888888,83.65869183444444,84.04240147555556,84.03453066666665,90.36527535666666,90.35911159666666,88.68463463777776,0.9409706255555556,0.9935749288888888,34.236352951111115,39.999390473333335,41.47559091111111,0.98794178,38.691911876666666,37.82254602666666,40.40703730666667,83.47587088666666,2.2355825011111112,79.69399314333334,87.24655407888889,83.46866218222223,2.2362629322222225,79.68557724555556,87.24003079444445
KUGVD,FIFA17_30fps_30sec_v2.yuv,FIFA17_30fps_30sec_v2_1280x720_4000_x264.mp4,1280,720,1920,1080,4000,x264,30,30,4.35,-1,4.352941176470588,norm_lp2,85.82699529929873,83.65727246001588,85.83502140388782,83.6966361425538,84.07817136046485,84.070293476763,90.38103286137662,90.37486608011712,88.69990261960999,1.1446450505263412,0.9935766714126506,34.24119489541761,40.006880079517465,41.480829632919736,0.9879448694876652,38.69824967689899,37.84520210148235,40.42356255996172,83.51353708214421,2.2644325754025574,79.73276203521694,87.28071800623313,83.50632039107562,2.265116742734396,79.72434139286202,87.27419251986751
KUGVD,FIFA17_30fps_30sec_v2.yuv,FIFA17_30fps_30sec_v2_1280x720_4000_x264.mp4,1280,720,1920,1080,4000,x264,30,30,4.35,-1,4.352941176470588,norm_lp3,85.86583349770278,83.69540184784188,85.87386883497527,83.73485160436624,84.11418071760556,84.10629578669152,90.3968504156999,90.39068067320416,88.71523055453137,1.379881852076689,0.9935784118699952,34.24603591715763,40.0144063808524,41.48613416049773,0.9879479561380394,38.70459097080034,37.86800765862692,40.44036119726679,83.55147700799185,2.2923614407195507,79.77181631942929,87.31502365972729,83.54425237735694,2.2930455301620123,79.76339120824322,87.30849621031473
KUGVD,FIFA17_30fps_30sec_v2.yuv,FIFA17_30fps_30sec_v2_1920x1080_2000_x264.mp4,1920,1080,1920,1080,2000,x264,30,30,4.12,-1,4.117647058823529,mean,74.12413224555556,72.11814624777779,74.13300171222222,72.13631621222223,72.77648157888889,72.76786518,83.2127269111111,83.20601902555555,81.6807668588889,3.012037257777777,0.9785588955555556,33.32354433888889,39.02940811222222,40.47128104222222,0.9726258222222224,37.13458902555555,32.66562133111111,37.85265559111112,72.40594891777778,1.6226142266666668,70.03517669666667,75.25911476666667,72.39801190666667,1.6231694977777775,70.02583653,75.25328975333335
KUGVD,FIFA17_30fps_30sec_v2.yuv,FIFA17_30fps_30sec_v2_1920x1080_2000_x264.mp4,1920,1080,1920,1080,2000,x264,30,30,4.12,-1,4.117647058823529,harmonic_mean,73.93032224903104,71.93271358425564,73.9392743571865,71.95075936356346,72.58314364423866,72.57443686931558,83.1330584055858,83.1263176701453,81.60628679029962,2.974252978350437,0.9785430104657944,33.30586462387123,39.02154153578777,40.4669987729861,0.9726098043102775,37.11877098700311,32.626035919341845,37.84226844989359,72.21951312867964,1.5916626571359416,69.84807292270717,75.07284745360458,72.21150017127233,1.592201287102244,69.83864276662383,75.06694766835435
KUGVD,FIFA17_30fps_30sec_v2.yuv,FIFA17_30fps_30sec_v2_1920x1080_2000_x264.mp4,1920,1080,1920,1080,2000,x264,30,30,4.12,-1,4.117647058823529,geometric_mean,74.02615657433765,72.02438990775259,74.03506741325872,72.04249691308432,72.67875939217821,72.67009757854645,83.1724477909562,83.16572341053451,81.64310612336728,2.986702419930324,0.9785428249093464,33.31442648084998,39.02537551221604,40.46908179089881,0.9726095671066216,37.12647884327488,32.645197593054604,37.84732966959576,72.31161417099422,1.5973424551358848,69.94034814168998,75.16500142986311,72.30363901731802,1.5978872001134503,69.93096286663166,75.15913884118766
