namePVS,nameSRC,codec,rate,mos,vmaf,vmaf_bagging,vmaf_stddev,vmaf_ci_p95_lo,vmaf_ci_p95_hi
BurnCloseup_H265at512K,BurnCloseup,H265,512000,3.218,42.570,42.908,1.442,40.579,45.762
Boxing09_H264at1M,Boxing09,H264,1000000,3.380,74.167,73.566,2.089,69.670,77.205
Boxing03_MPEG2at4M,Boxing03,MPEG2,4000000,2.085,71.289,70.770,1.862,67.885,74.294
RushFieldCuts_MPEG2at2M,RushFieldCuts,MPEG2,2000000,1.239,6.664,4.732,13.660,0.000,29.384
FlamencoVideo06_H265at1M,FlamencoVideo06,H265,1000000,4.592,83.540,83.046,2.173,78.391,86.455
FlamencoVideo08_MPEG2at4M,FlamencoVideo08,MPEG2,4000000,1.803,55.437,55.084,1.856,52.078,58.394
ScarletOakEasy_MPEG2at4M,ScarletOakEasy,MPEG2,4000000,2.437,52.088,51.326,2.313,47.892,55.753
newstennis_H265at512K,newstennis,H265,512000,3.789,78.902,78.115,2.196,74.765,82.002
FlamencoVideo04_H265at256K,FlamencoVideo04,H265,256000,2.592,53.450,53.079,1.977,50.122,57.090
Boxing02_H264at1M,Boxing02,H264,1000000,3.930,79.182,78.569,1.923,75.385,81.939
BurnCloseup_H265at256K,BurnCloseup,H265,256000,2.268,29.355,29.764,2.529,25.931,34.690
Railway_MPEG2at7M,Railway,MPEG2,7000000,4.394,88.358,87.457,2.586,83.229,91.687
newstennis_MPEG2at4M,newstennis,MPEG2,4000000,3.746,80.069,79.206,2.112,76.152,82.768
LiquidAssetsdiver04_MPEG2at2M,LiquidAssetsdiver04,MPEG2,2000000,1.549,49.031,48.575,1.434,45.833,50.595
NightLights_MPEG2at4M,NightLights,MPEG2,4000000,4.000,88.168,87.313,2.903,80.901,91.745
LiquidAssetsdiver10_H264at512K,LiquidAssetsdiver10,H264,512000,2.296,46.392,45.962,1.890,43.211,49.805
WaveRocks_H264at1M,WaveRocks,H264,1000000,2.972,44.627,44.149,2.258,40.695,48.987
Boxing10_H264at512K,Boxing10,H264,512000,1.324,28.605,29.651,2.650,25.003,34.199
Hood_H264at2M,Hood,H264,2000000,4.204,79.217,78.396,1.868,75.699,81.688
newstennis_H265at256K,newstennis,H265,256000,2.873,69.368,68.608,2.132,65.609,72.590
Wind_H265at1M,Wind,H265,1000000,3.310,40.092,39.473,2.357,35.882,44.566
Horses_MPEG2at7M,Horses,MPEG2,7000000,4.070,86.518,85.577,2.497,81.806,89.717
rainbow2b_H264at512K,rainbow2b,H264,512000,1.479,13.882,13.206,5.854,5.186,24.148
parkpeople_MPEG2at4M,parkpeople,MPEG2,4000000,3.810,77.228,76.310,2.141,73.261,79.748
TheFootMusicVideo02_MPEG2at7M,TheFootMusicVideo02,MPEG2,7000000,3.831,82.076,81.271,2.573,76.218,85.381
newstennis_H264at1M,newstennis,H264,1000000,3.197,74.210,73.433,2.119,70.476,77.312
rosepath_H264at2M,rosepath,H264,2000000,4.282,82.840,82.084,2.268,77.675,85.669
Boxing01_H264at512K,Boxing01,H264,512000,1.789,37.972,38.500,2.630,34.390,43.485
