Dataset,Original_file_name,Distorted_file_name,Width_original,Height_original,Width,Height,Bitrate,Video_codec,FPS,Duration,MOS,CI,Computed_Mos,temporal_pooling,vmaf_v0.6.1,vmaf_v0.6.1neg,vmaf_float_v0.6.1,vmaf_float_v0.6.1neg,vmaf_float_b_v0.6.3,vmaf_b_v0.6.3,vmaf_float_4k_v0.6.1,vmaf_4k_v0.6.1,vmaf_4k_v0.6.1neg,cambi,float_ssim,psnr_y,psnr_cb,psnr_cr,float_ms_ssim,ciede2000,psnr_hvs_y,psnr_hvs_cb,vmaf_float_b_v0.6.3_bagging,vmaf_float_b_v0.6.3_stddev,vmaf_float_b_v0.6.3_ci_p95_lo,vmaf_float_b_v0.6.3_ci_p95_hi,vmaf_b_v0.6.3_bagging,vmaf_b_v0.6.3_stddev,vmaf_b_v0.6.3_ci_p95_lo,vmaf_b_v0.6.3_ci_p95_hi
AVT-VQDB-UHD-1_3,cutting_orange_tuil_8s.yuv,cutting_orange_tuil_8s_6635kbps_720p_59.94fps_vp9.mp4,1280,720,3840,2160,6635,vp9,59.94,8.008,4.5,0.22413045643416,-1,mean,81.74583575,79.73784854166666,81.76266049791666,79.83032581458333,81.06305599374998,81.04696805833332,87.00020576458334,86.98763948333333,85.45758568750001,2.51580235625,0.9980358979166668,42.64608399375,44.52633022291666,47.17145045833333,0.99128295,44.04310716041666,40.37017094166666,42.779610814583336,80.36420011666668,2.595730139583333,74.6957576125,84.39671943750001,80.34927333541667,2.596736352083333,74.67668102499998,84.38437229791666
AVT-VQDB-UHD-1_3,cutting_orange_tuil_8s.yuv,cutting_orange_tuil_8s_6635kbps_720p_59.94fps_vp9.mp4,1280,720,3840,2160,6635,vp9,59.94,8.008,4.5,0.22413045643416,-1,harmonic_mean,81.67855926988949,79.66659000970735,81.69539476124709,79.75932003346105,80.99713269503687,80.98103532833458,86.96986087482769,86.95729370365557,85.42513385043685,2.476839861939032,0.998035800786354,42.625622201034766,44.49736187369159,47.14293198084233,0.9912825438169736,44.02147885579987,40.35531915481028,42.7565689731295,80.29558116706403,2.584763016710098,74.62858649605413,84.33380985395712,80.28064463983705,2.585778383586133,74.6094985119992,84.32145507957397
AVT-VQDB-UHD-1_3,cutting_orange_tuil_8s.yuv,cutting_orange_tuil_8s_6635kbps_720p_59.94fps_vp9.mp4,1280,720,3840,2160,6635,vp9,59.94,8.008,4.5,0.22413045643416,-1,geometric_mean,81.71131243448178,79.7011921310415,81.72814360604286,79.79380518250521,81.02920489554371,81.0131112064112,86.98473056734693,86.9721635821107,85.4410095034308,2.4882800635592663,0.9980358006869025,42.635098285402805,44.51094185676853,47.15648048225088,0.9912825421800472,44.03145956996491,40.36227369337104,42.76746009583833,80.32894342483557,2.5880633524679384,74.66134765843928,84.36440567353411,80.31401075361151,2.5890767771947334,74.64226447896448,84.3520538746026
AVT-VQDB-UHD-1_3,cutting_orange_tuil_8s.yuv,cutting_orange_tuil_8s_6635kbps_720p_59.94fps_vp9.mp4,1280,720,3840,2160,6635,vp9,59.94,8.008,4.5,0.22413045643416,-1,total_variation,1.0966303945720246,1.1562675929018789,1.096635741127349,1.162505661795407,1.0946075240083508,1.0945964070981204,0.8268182672233821,0.8267377703549057,0.8687690793319418,0.0621410104384133,0.0001872693110647,0.2038910751565762,0.3200417703549059,0.2487495720250523,0.0003321002087682,0.1953944947807934,0.2494964530271399,0.5087139770354908,1.0868616200417531,0.0542172233820459,0.9860913173277664,1.1508670250521922,1.086873325678497,0.054250643006263,0.9859420334029224,1.1507008121085598
AVT-VQDB-UHD-1_3,cutting_orange_tuil_8s.yuv,cutting_orange_tuil_8s_6635kbps_720p_59.94fps_vp9.mp4,1280,720,3840,2160,6635,vp9,59.94,8.008,4.5,0.22413045643416,-1,norm_lp1,81.74583575,79.73784854166666,81.76266049791666,79.83032581458333,81.06305599374998,81.04696805833332,87.00020576458334,86.98763948333333,85.45758568750001,2.51580235625,0.9980358979166668,42.64608399375,44.52633022291666,47.17145045833333,0.99128295,44.04310716041666,40.37017094166666,42.779610814583336,80.36420011666668,2.595730139583333,74.6957576125,84.39671943750001,80.34927333541667,2.596736352083333,74.67668102499998,84.38437229791666
AVT-VQDB-UHD-1_3,cutting_orange_tuil_8s.yuv,cutting_orange_tuil_8s_6635kbps_720p_59.94fps_vp9.mp4,1280,720,3840,2160,6635,vp9,59.94,8.008,4.5,0.22413045643416,-1,norm_lp2,81.78139675298671,79.77579766873748,81.79821295880778,79.86812196922811,81.09796896870843,81.08188890440128,87.01595484122775,87.0033897779994,85.4745082927492,2.544547149265585,0.9980359951310196,42.6583667288262,44.54317242393755,47.18740179521286,0.9912833584111936,44.0562646559732,40.37878555993964,42.79263386372475,80.40060362102913,2.604043134073079,74.73097262807401,84.43010880239888,80.38568480288126,2.60504132961179,74.71190426931905,84.41776809489049
AVT-VQDB-UHD-1_3,cutting_orange_tuil_8s.yuv,cutting_orange_tuil_8s_6635kbps_720p_59.94fps_vp9.mp4,1280,720,3840,2160,6635,vp9,59.94,8.008,4.5,0.22413045643416,-1,norm_lp3,81.81805748302926,79.81513960320804,81.83486275378276,79.90729142514631,81.13401132749985,81.11794153090901,87.03198672091446,87.01942343275319,85.4917929628708,2.575730307583488,0.9980360923299846,42.67218760379553,44.5617392612662,47.204467571166106,0.9912837674161268,44.07125406166657,40.38823915422441,42.80665013670898,80.43822925650804,2.6132735418415027,74.7670207777543,84.4646502375024,80.42332075545485,2.6142621202926493,74.74796247275334,84.45231799989686
AVT-VQDB-UHD-1_3,cutting_orange_tuil_8s.yuv,cutting_orange_tuil_8s_40974kbps_2160p_59.94fps_vp9.mp4,3840,2160,3840,2160,40974,vp9,59.94,8.008,4.653846153846152,0.265023251809485,-1,mean,73.91543514166666,71.9454136125,73.93170184166667,72.00429298958333,73.29603622083333,73.28048704166667,81.33675531875,81.32460395833331,79.84071021041667,2.465277154166666,0.9962635833333332,41.465807472916666,43.67094186250001,46.05080550833334,0.9873768583333332,43.139048620833336,38.36326195208333,41.21435137916667,72.68533642916667,2.0396245916666667,68.32204017083333,75.64522532291667,72.67091918125,2.0405438416666666,68.30511284375,75.63353337708334
AVT-VQDB-UHD-1_3,cutting_orange_tuil_8s.yuv,cutting_orange_tuil_8s_40974kbps_2160p_59.94fps_vp9.mp4,3840,2160,3840,2160,40974,vp9,59.94,8.008,4.653846153846152,0.265023251809485,-1,harmonic_mean,73.81983257132504,71.8434471435577,73.83609187115775,71.9023290564201,73.2016674949689,73.18612657599202,81.28937870361115,81.2772352933381,79.79073923079166,2.420952498030199,0.9962633518681494,41.445406338035234,43.64653151029709,46.02508174851677,0.9873760623925733,43.118802355685865,38.34491689245092,41.200164760357616,72.59051542763655,2.0246378427668854,68.23165184948488,75.54604577837424,72.57610582480056,2.025591437545329,68.21478364342133,75.53435726878266
AVT-VQDB-UHD-1_3,cutting_orange_tuil_8s.yuv,cutting_orange_tuil_8s_40974kbps_2160p_59.94fps_vp9.mp4,3840,2160,3840,2160,40974,vp9,59.94,8.008,4.653846153846152,0.265023251809485,-1,geometric_mean,73.86667704762432,71.89319515809146,73.88294134020181,71.95208330044534,73.24786658791733,73.23232026823702,81.31273499566471,81.30058726923724,79.81529937331601,2.433739962908504,0.9962633514244332,41.45477341003992,43.65792988469654,46.037278452546055,0.9873760577695334,43.128063773651824,38.35341560561799,41.20677734465773,72.636875839697,2.028323696691155,68.27621734190379,75.59440584703115,72.62246118381817,2.02927031188646,68.25931901660296,75.58271452473146
