Dataset,Original_file_name,Distorted_file_name,Width_original,Height_original,Width,Height,Bitrate,Video_codec,FPS,Duration,MOS,CI,Computed_Mos,temporal_pooling,vmaf_v0.6.1,vmaf_v0.6.1neg,vmaf_float_v0.6.1,vmaf_float_v0.6.1neg,vmaf_float_b_v0.6.3,vmaf_b_v0.6.3,vmaf_float_4k_v0.6.1,vmaf_4k_v0.6.1,vmaf_4k_v0.6.1neg,cambi,float_ssim,psnr_y,psnr_cb,psnr_cr,float_ms_ssim,ciede2000,psnr_hvs_y,psnr_hvs_cb,psnr_hvs_cr,psnr_hvs,vmaf_float_b_v0.6.3_bagging,vmaf_float_b_v0.6.3_stddev,vmaf_float_b_v0.6.3_ci_p95_lo,vmaf_float_b_v0.6.3_ci_p95_hi,vmaf_b_v0.6.3_bagging,vmaf_b_v0.6.3_stddev,vmaf_b_v0.6.3_ci_p95_lo,vmaf_b_v0.6.3_ci_p95_hi,integer_vif_scale3,eSSIM,SSIM
KUGVD,FIFA17_30fps_30sec_v2.yuv,FIFA17_30fps_30sec_v2_1280x720_4000_x264.mp4,1280,720,1920,1080,4000,x264,30,30,4.35,-1,4.352941176470588,mean,85.78842801777779,83.61941292666667,85.79644478888888,83.65869183444444,84.04240147555556,84.03453066666665,90.36527535666666,90.35911159666666,88.68463463777776,0.9409706255555556,0.9935749288888888,34.236352951111115,39.999390473333335,41.47559091111111,0.98794178,38.691911876666666,37.82254602666666,40.40703730666667,40.91951991333334,38.252911224444446,83.47587088666666,2.2355825011111112,79.69399314333334,87.24655407888889,83.46866218222223,2.2362629322222225,79.68557724555556,87.24003079444445,0.9746525233333332,0.8922958833333333,0.9394147644444444
KUGVD,FIFA17_30fps_30sec_v2.yuv,FIFA17_30fps_30sec_v2_1280x720_4000_x264.mp4,1280,720,1920,1080,4000,x264,30,30,4.35,-1,4.352941176470588,harmonic_mean,85.7129490989028,83.54533927884367,85.72094691868854,83.58445315764254,83.97237101963194,83.96451448739523,90.33427602775024,90.32811846764224,88.65460769917453,0.7877976788659531,0.9935731904413758,34.22694245426707,39.98487874845233,41.46554172075103,0.9879387071542796,38.67956619117682,37.77880200555934,40.375520515354616,40.89253361045688,38.21271412062299,83.40220197605395,2.194953314248269,79.61825553691638,87.1793615709288,83.39500939340675,2.1956189322727018,79.60984996650404,87.17284354631818,0.9746175298003468,0.8922337648180294,0.9393918646286196
KUGVD,FIFA17_30fps_30sec_v2.yuv,FIFA17_30fps_30sec_v2_1280x720_4000_x264.mp4,1280,720,1920,1080,4000,x264,30,30,4.35,-1,4.352941176470588,geometric_mean,85.7501242327731,83.5818124947585,85.75813153757444,83.62100769500738,84.00686201897675,83.99899834775992,90.3495764297184,90.34341575730244,88.66942465732276,0.7647077323092427,0.9935731842943436,34.23151036938108,39.99193677907766,41.47041616896616,0.987938687669202,38.68557768269727,37.80003208966838,40.39077279916516,40.9055868221675,38.23222282917995,83.43847022558366,2.205941657624427,79.65551035638977,87.21251741807065,83.43126958731662,2.2066142709826377,79.64709949233054,87.20599661266024,0.9746170393646598,0.8922299988718314,0.9393911191268686
KUGVD,FIFA17_30fps_30sec_v2.yuv,FIFA17_30fps_30sec_v2_1280x720_4000_x264.mp4,1280,720,1920,1080,4000,x264,30,30,4.35,-1,4.352941176470588,percentile_5,81.85407620000001,79.85659965,81.85555955,79.88840545,80.2709735,80.26821530000001,87.7383409,87.7323535,86.15486,0.2182775,0.98998385,33.3030184,38.78456355,40.6236269,0.98330975,37.53769865,35.7714419,38.70602765,39.4266672,36.2691666,79.5998697,1.6355704,76.02171165,83.38217239999999,79.5909607,1.6355973,76.01553305,83.3780029,0.959781,0.8752549,0.9270889
KUGVD,FIFA17_30fps_30sec_v2.yuv,FIFA17_30fps_30sec_v2_1280x720_4000_x264.mp4,1280,720,1920,1080,4000,x264,30,30,4.35,-1,4.352941176470588,percentile_95,90.0168023,87.80373325,90.02526094999999,87.85041125,88.18519745,88.17629395,93.18445925,93.1775295,91.42457445,2.0841153,0.9962012,35.1562988,41.1967379,42.5508765,0.99159225,39.7747079,40.09058875,42.3738803,42.7966099,40.3927194,87.6965625,2.87971815,83.76299075,91.1934622,87.69159245,2.8812019499999995,83.7560073,91.1953442,0.98693415,0.9121093,0.9504803
KUGVD,FIFA17_30fps_30sec_v2.yuv,FIFA17_30fps_30sec_v2_1280x720_4000_x264.mp4,1280,720,1920,1080,4000,x264,30,30,4.35,-1,4.352941176470588,norm_lp1,85.78842801777779,83.61941292666667,85.79644478888888,83.65869183444444,84.04240147555556,84.03453066666665,90.36527535666666,90.35911159666666,88.68463463777776,0.9409706255555556,0.9935749288888888,34.236352951111115,39.999390473333335,41.47559091111111,0.98794178,38.691911876666666,37.82254602666666,40.40703730666667,40.91951991333334,38.252911224444446,83.47587088666666,2.2355825011111112,79.69399314333334,87.24655407888889,83.46866218222223,2.2362629322222225,79.68557724555556,87.24003079444445,0.9746525233333332,0.8922958833333333,0.9394147644444444
KUGVD,FIFA17_30fps_30sec_v2.yuv,FIFA17_30fps_30sec_v2_1280x720_4000_x264.mp4,1280,720,1920,1080,4000,x264,30,30,4.35,-1,4.352941176470588,norm_lp2,85.82699529929873,83.65727246001588,85.83502140388782,83.6966361425538,84.07817136046485,84.070293476763,90.38103286137662,90.37486608011712,88.69990261960999,1.1446450505263412,0.9935766714126506,34.24119489541761,40.006880079517465,41.480829632919736,0.9879448694876652,38.69824967689899,37.84520210148235,40.42356255996172,40.93369953486942,38.273744713527925,83.51353708214421,2.2644325754025574,79.73276203521694,87.28071800623313,83.50632039107562,2.265116742734396,79.72434139286202,87.27419251986751,0.974687875799046,0.8923617243770047,0.9394383856204728
KUGVD,FIFA17_30fps_30sec_v2.yuv,FIFA17_30fps_30sec_v2_1280x720_4000_x264.mp4,1280,720,1920,1080,4000,x264,30,30,4.35,-1,4.352941176470588,norm_lp3,85.86583349770278,83.69540184784188,85.87386883497527,83.73485160436624,84.11418071760556,84.10629578669152,90.3968504156999,90.39068067320416,88.71523055453137,1.379881852076689,0.9935784118699952,34.24603591715763,40.0144063808524,41.48613416049773,0.9879479561380394,38.70459097080034,37.86800765862692,40.44036119726679,40.94813662476183,38.29473171588891,83.55147700799185,2.2923614407195507,79.77181631942929,87.31502365972729,83.54425237735694,2.2930455301620123,79.76339120824322,87.30849621031473,0.9747230979306016,0.8924275245644939,0.9394619827585934
KUGVD,FIFA17_30fps_30sec_v2.yuv,FIFA17_30fps_30sec_v2_1920x1080_2000_x264.mp4,1920,1080,1920,1080,2000,x264,30,30,4.12,-1,4.117647058823529,mean,74.12413224555556,72.11814624777779,74.13300171222222,72.13631621222223,72.77648157888889,72.76786518,83.2127269111111,83.20601902555555,81.6807668588889,3.012037257777777,0.9785588955555556,33.32354433888889,39.02940811222222,40.47128104222222,0.9726258222222224,37.13458902555555,32.66562133111111,37.85265559111112,38.44333451777777,33.33188577222222,72.40594891777778,1.6226142266666668,70.03517669666667,75.25911476666667,72.39801190666667,1.6231694977777775,70.02583653,75.25328975333335,0.9027966388888888,0.8466237433333335,0.9156270477777778
KUGVD,FIFA17_30fps_30sec_v2.yuv,FIFA17_30fps_30sec_v2_1920x1080_2000_x264.mp4,1920,1080,1920,1080,2000,x264,30,30,4.12,-1,4.117647058823529,harmonic_mean,73.93032224903104,71.93271358425564,73.9392743571865,71.95075936356346,72.58314364423866,72.57443686931558,83.1330584055858,83.1263176701453,81.60628679029962,2.974252978350437,0.9785430104657944,33.30586462387123,39.02154153578777,40.4669987729861,0.9726098043102775,37.11877098700311,32.626035919341845,37.84226844989359,38.43667824467919,33.29638843549806,72.21951312867964,1.5916626571359416,69.84807292270717,75.07284745360458,72.21150017127233,1.592201287102244,69.83864276662383,75.06694766835435,0.9025322345702786,0.8463733726277354,0.9155705748732744
